name,description,id,release_date,duration_ms
Democratização de Dados e AI no Grupo Boticário - Data Hackers Podcast 57,"Um ano depois desde nosso primeiro episódio juntos, o pessoal do Grupo Boticário volta ao podcast do Data Hackers para falar o que aconteceu nesses últimos meses. Philipp Nguyen (Chief Data Officer), Jordy Rocha (Lead ML Engineer), e Thamires Teixeira (Analista de Governança de Dados) compartilham alguns dos incríveis projetos de dados e AI que o GB está trabalhando atualmente, de iniciativas de democratização de dados a criação de uma plataforma de Machine Learning. Uma verdadeira aula de maturidade em dados! Veja as vagas abertas no Grupo Boticário:  https://www.linkedin.com/company/grupo-boticario/jobs/ Conheça nossos convidados Linkedin do Philipp Nguyen (https://www.linkedin.com/in/nguyenphilipp) Linkedin do Jordy Rocha (https://www.linkedin.com/in/jordy-antunes) Linkedin da Thamires Teixeira (https://www.linkedin.com/in/thamires-teixeira-90395278)",1Ztf5cj9Mi4hycAzuhGs61,2022-08-26,3570050
Mudando de emprego em meio a crise  - Staff+ Podcast 03,"O mercado de tecnologia tem passado por uma crise, mas enquanto temos algumas empresas demitindo e congelando vagas, temos outras contratando e com pessoas procurando pelo primeiro ou próximo emprego. Nesse episódio, Paulo Vasconcellos, Marlesson Santana e Flávio Clésio dão dicas sobre como escolher seu próximo emprego, fugir de armadilhas e negociar a melhor oferta possível. Conheça os hosts Paulo Vasconcellos (@paulo_zip) Flávio Clésio (@flavioclesio) Marlesson Santana (@marlesson)",4FzX1lEKYeLE5XNz6cbkVp,2022-07-15,3737991
Datathon e Data 4 Good - Data Hackers Podcast 56,"No episódio de hoje vamos falar sobre como dados e IA tem sido usados para criarem iniciativas que mudam o mundo. Você irá conhecer maratonas e ONGs que estão ajudando a criar desde melhores políticas de saúde pública até combater a violência contra a mulher. Para esse papo, convidamos o Gustavo Guimarães, CTO do Instituto Glória, para nos contar como dados tem sido utilizados para o bem no mundo. Links falados no episódio: https://medium.com/data-hackers/datathons-e-data-4-good-data-hackers-podcast-56-cea1aa90286c",1TVPlWrsrLdhYlK7rZaBLt,2022-07-01,4011833
Advanced Analytics na Bain & Company - Data Hackers Podcast 55,"Hoje o seu podcast de dados favorito traz como é trabalhar com Data Science e Advanced Analytics na Bain & Company, uma das maiores e mais conceituadas consultorias do mundo! Para esse papo, trouxemos a Marianne Rodríguez (Senior Impact Lead), Danilo Carvalho (Data Science Manager), Martín Villanueva (Data Science Manager), Felipe Fiamozzini (Expert Associate Partner).  Nesse episódio eles falam sobre a jornada de quatro dias de trabalho na Bain, como equipes em diferentes países trabalham juntas, os projetos muito legais em que eles trabalham, e muito mais. Tá imperdível! Nossos convidados Marianne Rodríguez Danilo Carvalho Martín Villanueva Felipe Fiamozzini Acesse o link do post para ter acesso as referências e redes sociais dos convidados https://medium.com/data-hackers/advanced-analytics-na-bain-company-data-hackers-podcast-55-c23ece5cdba8",4YLMD2Y78oTXEOmGpTvSvv,2022-05-06,4179748
O Senior de hoje é o Staff de amanhã? - Staff+ Podcast 02,"No segundo episódio do Staff+ Podcast, Paulo Vasconcellos, Flávio Clésio e Marlesson Santana falam sobre essa discussão de senioridade e como isso pavimenta o caminho para o Staff+ Engineering. Falamos do que os profissionais de diferentes senioridades são feitos, as ferramentas que te ajudarão a ser um Staff+ e por que existe essa discussão de senior de 2 anos. Twitter: Paulo Vasconcellos (@paulo_zip) Flávio Clésio (@flavioclesio) Marlesson Santana (@marlesson) Acesse o post no Medium para ter acesso as referências: https://medium.com/data-hackers/o-senior-de-hoje-%C3%A9-o-staff-de-amanh%C3%A3-staff-podcast-02-db4c02839284",3XZdk9MD8TqHGkPzRQ5tDK,2022-04-29,3459369
Como Big Data vai morrer -  Data Hackers Podcast 54,"No episódio de hoje, Paulo Vasconcellos, Allan Sene e Gabriel Lages falam sobre um polêmico tema na indústria de dados: como o termo Big Data vai morrer. Essa conversa surgiu após uma entrevista com Andrew Ng, um dos pioneiros em AI no mundo, falando sobre darmos lugar a uma coleta de dados mais inteligente e ligada a um contexto. Baixe o dataset do State of Data Brazil no Kaggle (https://www.kaggle.com/datasets/datahackers/state-of-data-2021) Acesse o post no Medium para ter acesso as referências do episódio (https://www.kaggle.com/datasets/datahackers/state-of-data-2021)",5mPSw7sDOceFLBJGEs3wqQ,2022-04-08,2929345
O que faz um Staff Engineer? - Staff+ Podcast 01,"Se você acha que a única forma de evoluir na carreira é se tornando um gerente, ou sendo promovido para qualquer cargo de gestão de pessoas, esse podcast é pra você! Sejam bem-vindos ao Staff+ Podcast, onde Paulo Vasconcellos, Flávio Clésio e Marlesson Santana compartilham experiências e dicas para quem deseja conhecer e se aventurar pela carreira de Staff Engineer. Nesse primeiro episódio, tentamos definir o que é e o que faz esse profissional referência na carreira técnica. Twitter: Paulo Vasconcellos (@paulo_zip) Flávio Clésio (@flavioclesio) Marlesson Santana (@marlesson) Acesse o link no Medium para ter acesso as referências do episódio:  https://medium.com/data-hackers/o-que-faz-um-staff-engineer-staff-podcast-01-4b34c574a575",3ul37YJskNvt7oJfRFSk0Z,2022-03-18,3813328
"Salários, trabalho remoto, e senioridade: os resultados do State of Data Brazil - Data Hackers Podcast 53","Está na hora de trazer os aguardados resultados da State of Data Brazil, uma pesquisa que mapeou o mercado de dados brasileiro, feita pelo Data Hackers em parceria com a Bain & Company. Nesse episódio, trouxemos o Lucas Brossi e Felipe Fiamozzini para falarmos sobre os principais resultados da pesquisa e os desafios de fazer algo dessa escala no Brasil, daquele jeito descontraído de sempre do DH. Acesse o site do State of Data Brazil e tenha acesso ao relatório completo: https://stateofdata.com.br Linkedin do Felipe Fiamozzini (https://www.linkedin.com/in/felipe-fiamozzini-5457839) Linkedin do Lucas Brossi (https://www.linkedin.com/in/lucasbrossi) Vagas na Bain & Company (https://careers.bain.com/jobs)",2wFOx8HgO5ib0sWH889jKd,2022-03-11,3882422
Como escolhemos o que vamos aprender  - Data Hackers Podcast 52,"Nesse episódio a gente fala o que vamos aprender em 2022 para evoluirmos na nossa carreira. Existem tantos assunto, como fazemos pra escolher o que vamos focar? Qual curso escolhemos? E quais assuntos interessantes para você avaliar esse ano. Acesse nosso post no Medium para ter acesso as referências: https://medium.com/data-hackers/como-escolhemos-o-que-vamos-aprender-data-hackers-podcast-52-a05a23653ab6",798xcPzTynXrdCkqSbe51K,2022-02-23,3703562
Tendências para Dados e AI em 2022 - Data Hackers Podcast 51,"Chegou aquele momento do ano em que vamos bancar a Mãe Dináh e fazer nossas previsões sobre o que achamos que será tendência na área de dados como um todo. Falamos sobre MLOps, Analytics Engineer, altos salários e até eleições! E é claro que convidamos novamente os Community Managers do Data Hackers para essa conversa: Marlesson Santana, Pietro Oliveira e Mario Filho! Acesse nosso post no Medium para ter acesso aos links das referências: https://medium.com/data-hackers/tend%C3%AAncias-para-dados-e-ai-em-2022-data-hackers-podcast-51-384c0554a4a2",0bwtaOWWKspFTQPlX1oaZp,2022-02-04,4382537
